GeneName	GOTerm	TermLevel
Hmga2	DNA conformation change	4
Hmga2	DNA damage checkpoint	2
Hmga2	DNA damage response, detection of DNA damage	0
Hmga2	DNA integrity checkpoint	3
Hmga2	DNA metabolic process	5
Hmga2	DNA packaging	3
Hmga2	DNA repair	1
Hmga2	G2/M transition DNA damage checkpoint	1
Hmga2	G2/M transition checkpoint	2
Hmga2	G2/M transition of mitotic cell cycle	2
Hmga2	M phase	2
Hmga2	M phase of meiotic cell cycle	1
Hmga2	M phase of mitotic cell cycle	1
Hmga2	RNA biosynthetic process	1
Hmga2	RNA metabolic process	2
Hmga2	adipose tissue development	1
Hmga2	adrenal gland development	0
Hmga2	aging	3
Hmga2	anatomical structure development	9
Hmga2	anatomical structure formation involved in morphogenesis	3
Hmga2	anatomical structure morphogenesis	5
Hmga2	base-excision repair	0
Hmga2	biological regulation	10
Hmga2	biological_process	12
Hmga2	biosynthetic process	3
Hmga2	brain development	3
Hmga2	cartilage development	1
Hmga2	cell aging	2
Hmga2	cell communication	2
Hmga2	cell cycle	7
Hmga2	cell cycle checkpoint	4
Hmga2	cell cycle phase	5
Hmga2	cell cycle process	6
Hmga2	cell development	3
Hmga2	cell differentiation	7
Hmga2	cell division	0
Hmga2	cell morphogenesis	2
Hmga2	cell morphogenesis involved in differentiation	1
Hmga2	cell proliferation	2
Hmga2	cell proliferation in forebrain	0
Hmga2	cell-cell signaling	1
Hmga2	cellular biosynthetic process	2
Hmga2	cellular component assembly	4
Hmga2	cellular component assembly at cellular level	3
Hmga2	cellular component biogenesis	5
Hmga2	cellular component morphogenesis	3
Hmga2	cellular component organization	10
Hmga2	cellular component organization at cellular level	9
Hmga2	cellular component organization or biogenesis	11
Hmga2	cellular component organization or biogenesis at cellular level	10
Hmga2	cellular developmental process	8
Hmga2	cellular macromolecule biosynthetic process	1
Hmga2	cellular macromolecule metabolic process	7
Hmga2	cellular metabolic process	9
Hmga2	cellular nitrogen compound metabolic process	8
Hmga2	cellular process	11
Hmga2	cellular process involved in reproduction	3
Hmga2	cellular protein metabolic process	6
Hmga2	cellular protein modification process	5
Hmga2	cellular response to stimulus	5
Hmga2	cellular response to stress	4
Hmga2	cellular senescence	1
Hmga2	central nervous system development	4
Hmga2	chondrocyte differentiation	0
Hmga2	chondrocyte proliferation	0
Hmga2	chromatin assembly	2
Hmga2	chromatin assembly or disassembly	3
Hmga2	chromatin modification	5
Hmga2	chromatin organization	6
Hmga2	chromatin remodeling	2
Hmga2	chromosome breakage	0
Hmga2	chromosome condensation	0
Hmga2	chromosome organization	7
Hmga2	connective tissue development	2
Hmga2	covalent chromatin modification	4
Hmga2	detection of stimulus	1
Hmga2	development of primary male sexual characteristics	1
Hmga2	development of primary sexual characteristics	2
Hmga2	developmental process	10
Hmga2	developmental process involved in reproduction	4
Hmga2	diencephalon development	1
Hmga2	embryo development	5
Hmga2	embryonic morphogenesis	4
Hmga2	endocrine system development	1
Hmga2	endoderm development	2
Hmga2	endoderm formation	1
Hmga2	endodermal cell differentiation	0
Hmga2	epithelial to mesenchymal transition	0
Hmga2	fat cell differentiation	0
Hmga2	fat pad development	0
Hmga2	forebrain development	2
Hmga2	formation of primary germ layer	2
Hmga2	gamete generation	2
Hmga2	gastrulation	3
Hmga2	gene expression	1
Hmga2	generation of neurons	5
Hmga2	gland development	1
Hmga2	gonad development	1
Hmga2	heterochromatin assembly	1
Hmga2	heterochromatin organization	2
Hmga2	histone H2A-S139 phosphorylation	0
Hmga2	histone modification	3
Hmga2	histone phosphorylation	2
Hmga2	histone-serine phosphorylation	1
Hmga2	interaction with symbiont	4
Hmga2	interphase	4
Hmga2	interphase of mitotic cell cycle	3
Hmga2	interspecies interaction between organisms	6
Hmga2	macromolecule biosynthetic process	2
Hmga2	macromolecule metabolic process	8
Hmga2	macromolecule modification	7
Hmga2	male gamete generation	1
Hmga2	male gonad development	0
Hmga2	male sex differentiation	2
Hmga2	meiosis	0
Hmga2	meiotic cell cycle	2
Hmga2	mesenchymal cell development	1
Hmga2	mesenchymal cell differentiation	2
Hmga2	mesenchyme development	3
Hmga2	mesoderm development	3
Hmga2	mesoderm formation	1
Hmga2	mesoderm morphogenesis	2
Hmga2	mesodermal cell differentiation	0
Hmga2	mesodermal-endodermal cell signaling	0
Hmga2	metabolic process	10
Hmga2	mitosis	0
Hmga2	mitotic cell cycle	4
Hmga2	mitotic cell cycle G2/M transition DNA damage checkpoint	0
Hmga2	mitotic cell cycle G2/M transition checkpoint	1
Hmga2	mitotic cell cycle checkpoint	2
Hmga2	modification by host of symbiont morphology or physiology	3
Hmga2	modification of morphology or physiology of other organism	5
Hmga2	modification of morphology or physiology of other organism involved in symbiotic interaction	4
Hmga2	modulation by host of symbiont transcription	2
Hmga2	modulation by host of viral transcription	1
Hmga2	modulation of transcription in other organism involved in symbiotic interaction	3
Hmga2	multi-organism process	7
Hmga2	multicellular organism reproduction	4
Hmga2	multicellular organismal development	9
Hmga2	multicellular organismal process	10
Hmga2	multicellular organismal reproductive process	3
Hmga2	negative regulation by host of viral transcription	0
Hmga2	negative regulation of DNA binding	0
Hmga2	negative regulation of DNA metabolic process	3
Hmga2	negative regulation of DNA repair	2
Hmga2	negative regulation of JAK-STAT cascade	0
Hmga2	negative regulation of RNA metabolic process	2
Hmga2	negative regulation of apoptotic process	0
Hmga2	negative regulation of astrocyte differentiation	0
Hmga2	negative regulation of binding	1
Hmga2	negative regulation of biological process	7
Hmga2	negative regulation of biosynthetic process	4
Hmga2	negative regulation of cell communication	3
Hmga2	negative regulation of cell death	2
Hmga2	negative regulation of cell development	4
Hmga2	negative regulation of cell differentiation	5
Hmga2	negative regulation of cellular biosynthetic process	3
Hmga2	negative regulation of cellular macromolecule biosynthetic process	2
Hmga2	negative regulation of cellular metabolic process	5
Hmga2	negative regulation of cellular process	6
Hmga2	negative regulation of developmental process	6
Hmga2	negative regulation of double-strand break repair	1
Hmga2	negative regulation of double-strand break repair via nonhomologous end joining	0
Hmga2	negative regulation of gene expression	2
Hmga2	negative regulation of glial cell differentiation	1
Hmga2	negative regulation of gliogenesis	2
Hmga2	negative regulation of intracellular protein kinase cascade	1
Hmga2	negative regulation of intracellular steroid hormone receptor signaling pathway	0
Hmga2	negative regulation of macromolecule biosynthetic process	3
Hmga2	negative regulation of macromolecule metabolic process	4
Hmga2	negative regulation of metabolic process	6
Hmga2	negative regulation of molecular function	2
Hmga2	negative regulation of neurogenesis	3
Hmga2	negative regulation of nitrogen compound metabolic process	5
Hmga2	negative regulation of nucleobase-containing compound metabolic process	4
Hmga2	negative regulation of programmed cell death	1
Hmga2	negative regulation of reproductive process	2
Hmga2	negative regulation of response to DNA damage stimulus	3
Hmga2	negative regulation of response to stimulus	4
Hmga2	negative regulation of retroviral genome replication	0
Hmga2	negative regulation of signal transduction	2
Hmga2	negative regulation of signaling	3
Hmga2	negative regulation of transcription from RNA polymerase II promoter	0
Hmga2	negative regulation of transcription, DNA-dependent	1
Hmga2	negative regulation of viral genome replication	1
Hmga2	negative regulation of viral reproduction	2
Hmga2	negative regulation of viral transcription	1
Hmga2	nervous system development	7
Hmga2	neural precursor cell proliferation	1
Hmga2	neurogenesis	6
Hmga2	nitrogen compound metabolic process	9
Hmga2	nuclear division	1
Hmga2	nucleic acid metabolic process	6
Hmga2	nucleobase-containing compound metabolic process	7
Hmga2	oncogene-induced senescence	0
Hmga2	organ development	4
Hmga2	organelle fission	2
Hmga2	organelle organization	8
Hmga2	peptidyl-amino acid modification	4
Hmga2	peptidyl-serine modification	3
Hmga2	peptidyl-serine phosphorylation	2
Hmga2	phosphate-containing compound metabolic process	5
Hmga2	phosphorus metabolic process	6
Hmga2	phosphorylation	4
Hmga2	pituitary gland development	0
Hmga2	positive regulation of DNA binding	1
Hmga2	positive regulation of RNA metabolic process	2
Hmga2	positive regulation of apoptotic process	0
Hmga2	positive regulation of binding	2
Hmga2	positive regulation of biological process	6
Hmga2	positive regulation of biosynthetic process	3
Hmga2	positive regulation of cell aging	1
Hmga2	positive regulation of cell cycle arrest	0
Hmga2	positive regulation of cell cycle process	1
Hmga2	positive regulation of cell death	2
Hmga2	positive regulation of cell proliferation	1
Hmga2	positive regulation of cellular biosynthetic process	2
Hmga2	positive regulation of cellular metabolic process	4
Hmga2	positive regulation of cellular process	5
Hmga2	positive regulation of cellular response to X-ray	0
Hmga2	positive regulation of cellular senescence	0
Hmga2	positive regulation of developmental process	2
Hmga2	positive regulation of gene expression	2
Hmga2	positive regulation of growth	1
Hmga2	positive regulation of macromolecule biosynthetic process	2
Hmga2	positive regulation of macromolecule metabolic process	3
Hmga2	positive regulation of metabolic process	5
Hmga2	positive regulation of molecular function	3
Hmga2	positive regulation of multicellular organism growth	0
Hmga2	positive regulation of multicellular organismal process	1
Hmga2	positive regulation of nitrogen compound metabolic process	4
Hmga2	positive regulation of nucleobase-containing compound metabolic process	3
Hmga2	positive regulation of programmed cell death	1
Hmga2	positive regulation of response to DNA damage stimulus	0
Hmga2	positive regulation of response to stimulus	1
Hmga2	positive regulation of sequence-specific DNA binding transcription factor activity	0
Hmga2	positive regulation of stem cell proliferation	0
Hmga2	positive regulation of transcription from RNA polymerase II promoter	0
Hmga2	positive regulation of transcription regulatory region DNA binding	0
Hmga2	positive regulation of transcription, DNA-dependent	1
Hmga2	positive regulation of viral reproduction	2
Hmga2	primary metabolic process	8
Hmga2	programmed DNA elimination	1
Hmga2	protein metabolic process	7
Hmga2	protein modification process	6
Hmga2	protein phosphorylation	3
Hmga2	regulation of DNA binding	2
Hmga2	regulation of DNA metabolic process	4
Hmga2	regulation of DNA repair	3
Hmga2	regulation of G2/M transition of mitotic cell cycle	2
Hmga2	regulation of JAK-STAT cascade	1
Hmga2	regulation of RNA biosynthetic process	3
Hmga2	regulation of RNA metabolic process	4
Hmga2	regulation of apoptotic process	1
Hmga2	regulation of astrocyte differentiation	1
Hmga2	regulation of binding	3
Hmga2	regulation of biological process	9
Hmga2	regulation of biological quality	6
Hmga2	regulation of biosynthetic process	5
Hmga2	regulation of cell aging	2
Hmga2	regulation of cell communication	4
Hmga2	regulation of cell cycle	7
Hmga2	regulation of cell cycle arrest	5
Hmga2	regulation of cell cycle process	6
Hmga2	regulation of cell death	3
Hmga2	regulation of cell development	5
Hmga2	regulation of cell differentiation	6
Hmga2	regulation of cell proliferation	2
Hmga2	regulation of cellular biosynthetic process	4
Hmga2	regulation of cellular localization	3
Hmga2	regulation of cellular macromolecule biosynthetic process	3
Hmga2	regulation of cellular metabolic process	6
Hmga2	regulation of cellular process	8
Hmga2	regulation of cellular response to X-ray	1
Hmga2	regulation of cellular response to drug	0
Hmga2	regulation of cellular response to stress	5
Hmga2	regulation of cellular senescence	1
Hmga2	regulation of developmental process	7
Hmga2	regulation of double-strand break repair	2
Hmga2	regulation of double-strand break repair via nonhomologous end joining	1
Hmga2	regulation of gene expression	3
Hmga2	regulation of glial cell differentiation	2
Hmga2	regulation of gliogenesis	3
Hmga2	regulation of growth	2
Hmga2	regulation of growth hormone secretion	0
Hmga2	regulation of hormone secretion	2
Hmga2	regulation of interphase of mitotic cell cycle	3
Hmga2	regulation of intracellular protein kinase cascade	2
Hmga2	regulation of intracellular steroid hormone receptor signaling pathway	1
Hmga2	regulation of localization	5
Hmga2	regulation of macromolecule biosynthetic process	4
Hmga2	regulation of macromolecule metabolic process	5
Hmga2	regulation of metabolic process	7
Hmga2	regulation of mitotic cell cycle	4
Hmga2	regulation of molecular function	4
Hmga2	regulation of multicellular organism growth	1
Hmga2	regulation of multicellular organismal development	6
Hmga2	regulation of multicellular organismal process	7
Hmga2	regulation of nervous system development	5
Hmga2	regulation of neurogenesis	4
Hmga2	regulation of nitrogen compound metabolic process	6
Hmga2	regulation of nucleobase-containing compound metabolic process	5
Hmga2	regulation of peptide hormone secretion	1
Hmga2	regulation of peptide secretion	2
Hmga2	regulation of peptide transport	3
Hmga2	regulation of primary metabolic process	6
Hmga2	regulation of programmed cell death	2
Hmga2	regulation of reproductive process	3
Hmga2	regulation of response to DNA damage stimulus	4
Hmga2	regulation of response to drug	1
Hmga2	regulation of response to stimulus	7
Hmga2	regulation of response to stress	6
Hmga2	regulation of retroviral genome replication	1
Hmga2	regulation of secretion	3
Hmga2	regulation of sequence-specific DNA binding transcription factor activity	1
Hmga2	regulation of signal transduction	3
Hmga2	regulation of signaling	4
Hmga2	regulation of stem cell differentiation	1
Hmga2	regulation of stem cell maintenance	0
Hmga2	regulation of stem cell proliferation	1
Hmga2	regulation of transcription from RNA polymerase II promoter	1
Hmga2	regulation of transcription regulatory region DNA binding	1
Hmga2	regulation of transcription, DNA-dependent	2
Hmga2	regulation of transport	4
Hmga2	regulation of viral genome replication	2
Hmga2	regulation of viral reproduction	3
Hmga2	regulation of viral transcription	2
Hmga2	reproduction	6
Hmga2	reproductive process	5
Hmga2	reproductive structure development	2
Hmga2	response to DNA damage stimulus	3
Hmga2	response to stimulus	6
Hmga2	response to stress	5
Hmga2	senescence-associated heterochromatin focus assembly	0
Hmga2	sex differentiation	3
Hmga2	sexual reproduction	3
Hmga2	signal transduction	0
Hmga2	signaling	2
Hmga2	skeletal system development	2
Hmga2	somatic stem cell maintenance	0
Hmga2	spermatogenesis	0
Hmga2	stem cell development	2
Hmga2	stem cell differentiation	3
Hmga2	stem cell maintenance	1
Hmga2	symbiosis, encompassing mutualism through parasitism	5
Hmga2	system development	8
Hmga2	tissue development	4
Hmga2	tissue morphogenesis	3
Hmga2	transcription, DNA-dependent	0
Serpine2	anatomical structure development	10
Serpine2	anatomical structure morphogenesis	4
Serpine2	behavior	3
Serpine2	biological regulation	9
Serpine2	biological_process	12
Serpine2	blood coagulation	0
Serpine2	brain development	6
Serpine2	cell differentiation	7
Serpine2	cellular component biogenesis	2
Serpine2	cellular component biogenesis at cellular level	1
Serpine2	cellular component organization	4
Serpine2	cellular component organization at cellular level	3
Serpine2	cellular component organization or biogenesis	5
Serpine2	cellular component organization or biogenesis at cellular level	4
Serpine2	cellular developmental process	8
Serpine2	cellular localization	2
Serpine2	cellular process	9
Serpine2	central nervous system development	7
Serpine2	cerebellar cortex development	2
Serpine2	cerebellar cortex morphogenesis	1
Serpine2	cerebellar granular layer development	1
Serpine2	cerebellar granular layer morphogenesis	0
Serpine2	cerebellum development	3
Serpine2	cerebellum morphogenesis	2
Serpine2	coagulation	1
Serpine2	copulation	2
Serpine2	dense core granule biogenesis	0
Serpine2	detection of abiotic stimulus	2
Serpine2	detection of external stimulus	2
Serpine2	detection of mechanical stimulus	1
Serpine2	detection of mechanical stimulus involved in sensory perception	0
Serpine2	detection of stimulus	3
Serpine2	detection of stimulus involved in sensory perception	1
Serpine2	developmental process	11
Serpine2	developmental process involved in reproduction	3
Serpine2	epithelium development	1
Serpine2	establishment of localization	3
Serpine2	establishment of localization in cell	1
Serpine2	generation of neurons	5
Serpine2	gland development	2
Serpine2	hemostasis	1
Serpine2	hindbrain development	5
Serpine2	hindbrain morphogenesis	3
Serpine2	innervation	0
Serpine2	insemination	1
Serpine2	localization	4
Serpine2	long-term synaptic potentiation	0
Serpine2	mating	3
Serpine2	mating plug formation	0
Serpine2	metencephalon development	4
Serpine2	multi-organism process	4
Serpine2	multicellular organism reproduction	3
Serpine2	multicellular organismal development	10
Serpine2	multicellular organismal process	11
Serpine2	multicellular organismal reproductive process	2
Serpine2	negative regulation of biological process	5
Serpine2	negative regulation of blood coagulation	1
Serpine2	negative regulation of catabolic process	1
Serpine2	negative regulation of catalytic activity	3
Serpine2	negative regulation of cell activation	1
Serpine2	negative regulation of cell adhesion	3
Serpine2	negative regulation of cell communication	2
Serpine2	negative regulation of cell growth	0
Serpine2	negative regulation of cell proliferation	0
Serpine2	negative regulation of cell-cell adhesion	2
Serpine2	negative regulation of cellular metabolic process	2
Serpine2	negative regulation of cellular process	4
Serpine2	negative regulation of cellular protein metabolic process	1
Serpine2	negative regulation of coagulation	2
Serpine2	negative regulation of endopeptidase activity	0
Serpine2	negative regulation of growth	1
Serpine2	negative regulation of hemostasis	2
Serpine2	negative regulation of homotypic cell-cell adhesion	1
Serpine2	negative regulation of hydrolase activity	2
Serpine2	negative regulation of ion transport	1
Serpine2	negative regulation of macromolecule metabolic process	3
Serpine2	negative regulation of metabolic process	4
Serpine2	negative regulation of molecular function	4
Serpine2	negative regulation of multicellular organismal process	3
Serpine2	negative regulation of peptidase activity	1
Serpine2	negative regulation of phosphatidylinositol 3-kinase cascade	0
Serpine2	negative regulation of plasminogen activation	0
Serpine2	negative regulation of platelet activation	0
Serpine2	negative regulation of platelet aggregation	0
Serpine2	negative regulation of protein catabolic process	0
Serpine2	negative regulation of protein metabolic process	2
Serpine2	negative regulation of protein processing	1
Serpine2	negative regulation of proteolysis	0
Serpine2	negative regulation of response to stimulus	2
Serpine2	negative regulation of signal transduction	1
Serpine2	negative regulation of signaling	2
Serpine2	negative regulation of smoothened signaling pathway	0
Serpine2	negative regulation of sodium ion transport	0
Serpine2	negative regulation of transport	2
Serpine2	nerve development	1
Serpine2	nervous system development	8
Serpine2	neurogenesis	6
Serpine2	neurological system process	3
Serpine2	organ development	7
Serpine2	organelle organization	2
Serpine2	positive regulation of astrocyte differentiation	0
Serpine2	positive regulation of biological process	7
Serpine2	positive regulation of cell communication	3
Serpine2	positive regulation of cell development	4
Serpine2	positive regulation of cell differentiation	5
Serpine2	positive regulation of cell projection organization	1
Serpine2	positive regulation of cellular component organization	2
Serpine2	positive regulation of cellular process	6
Serpine2	positive regulation of developmental process	6
Serpine2	positive regulation of glial cell differentiation	1
Serpine2	positive regulation of gliogenesis	2
Serpine2	positive regulation of multicellular organismal process	4
Serpine2	positive regulation of neurogenesis	3
Serpine2	positive regulation of neurological system process	3
Serpine2	positive regulation of neuron projection development	0
Serpine2	positive regulation of signaling	3
Serpine2	positive regulation of synaptic transmission	1
Serpine2	positive regulation of transmission of nerve impulse	2
Serpine2	post-mating behavior	1
Serpine2	regulation of astrocyte differentiation	1
Serpine2	regulation of biological process	8
Serpine2	regulation of biological quality	3
Serpine2	regulation of blood coagulation	3
Serpine2	regulation of body fluid levels	2
Serpine2	regulation of catabolic process	2
Serpine2	regulation of catalytic activity	4
Serpine2	regulation of cell activation	3
Serpine2	regulation of cell adhesion	4
Serpine2	regulation of cell communication	4
Serpine2	regulation of cell development	5
Serpine2	regulation of cell differentiation	6
Serpine2	regulation of cell growth	1
Serpine2	regulation of cell projection organization	2
Serpine2	regulation of cell proliferation	1
Serpine2	regulation of cell-cell adhesion	3
Serpine2	regulation of cellular component organization	3
Serpine2	regulation of cellular metabolic process	3
Serpine2	regulation of cellular process	7
Serpine2	regulation of cellular protein metabolic process	2
Serpine2	regulation of coagulation	4
Serpine2	regulation of development, heterochronic	1
Serpine2	regulation of developmental process	7
Serpine2	regulation of endopeptidase activity	1
Serpine2	regulation of gene expression	3
Serpine2	regulation of glial cell differentiation	2
Serpine2	regulation of gliogenesis	3
Serpine2	regulation of growth	2
Serpine2	regulation of hemostasis	4
Serpine2	regulation of homotypic cell-cell adhesion	2
Serpine2	regulation of hydrolase activity	3
Serpine2	regulation of ion transport	3
Serpine2	regulation of localization	5
Serpine2	regulation of macromolecule metabolic process	4
Serpine2	regulation of metabolic process	5
Serpine2	regulation of metal ion transport	2
Serpine2	regulation of molecular function	5
Serpine2	regulation of multicellular organismal development	6
Serpine2	regulation of multicellular organismal process	7
Serpine2	regulation of nervous system development	5
Serpine2	regulation of neurogenesis	4
Serpine2	regulation of neurological system process	4
Serpine2	regulation of neuron differentiation	2
Serpine2	regulation of neuron projection development	1
Serpine2	regulation of peptidase activity	2
Serpine2	regulation of phosphatidylinositol 3-kinase cascade	1
Serpine2	regulation of plasminogen activation	1
Serpine2	regulation of platelet activation	2
Serpine2	regulation of platelet aggregation	1
Serpine2	regulation of primary metabolic process	4
Serpine2	regulation of protein catabolic process	1
Serpine2	regulation of protein metabolic process	3
Serpine2	regulation of protein processing	2
Serpine2	regulation of proteolysis	1
Serpine2	regulation of response to external stimulus	4
Serpine2	regulation of response to stimulus	6
Serpine2	regulation of response to stress	5
Serpine2	regulation of signal transduction	2
Serpine2	regulation of signaling	4
Serpine2	regulation of smoothened signaling pathway	1
Serpine2	regulation of sodium ion transport	1
Serpine2	regulation of synaptic plasticity	1
Serpine2	regulation of synaptic transmission	2
Serpine2	regulation of synaptic transmission, glutamatergic	0
Serpine2	regulation of system process	5
Serpine2	regulation of timing of cell differentiation	0
Serpine2	regulation of transmission of nerve impulse	3
Serpine2	regulation of transport	4
Serpine2	regulation of wound healing	4
Serpine2	reproduction	5
Serpine2	reproductive behavior	2
Serpine2	reproductive process	4
Serpine2	reproductive structure development	2
Serpine2	response to abiotic stimulus	3
Serpine2	response to external stimulus	3
Serpine2	response to mechanical stimulus	2
Serpine2	response to stimulus	4
Serpine2	response to stress	3
Serpine2	response to wounding	2
Serpine2	secretion	1
Serpine2	secretion by cell	0
Serpine2	secretory granule organization	0
Serpine2	seminal vesicle development	1
Serpine2	seminal vesicle epithelium development	0
Serpine2	sensory perception	2
Serpine2	sensory perception of mechanical stimulus	1
Serpine2	system development	9
Serpine2	system process	4
Serpine2	tissue development	2
Serpine2	transport	2
Serpine2	vesicle organization	1
Serpine2	wound healing	1
Rpl28	biological_process	5
Rpl28	biosynthetic process	3
Rpl28	cellular biosynthetic process	2
Rpl28	cellular macromolecule biosynthetic process	1
Rpl28	cellular macromolecule metabolic process	2
Rpl28	cellular metabolic process	3
Rpl28	cellular process	4
Rpl28	cellular protein metabolic process	1
Rpl28	gene expression	1
Rpl28	macromolecule biosynthetic process	2
Rpl28	macromolecule metabolic process	3
Rpl28	metabolic process	4
Rpl28	primary metabolic process	3
Rpl28	protein metabolic process	2
Rpl28	translation	0
Aldoc	aging	0
Aldoc	apoptotic process	0
Aldoc	biological_process	8
Aldoc	carbohydrate catabolic process	4
Aldoc	carbohydrate derivative metabolic process	1
Aldoc	carbohydrate metabolic process	5
Aldoc	catabolic process	5
Aldoc	cell death	2
Aldoc	cellular component assembly	5
Aldoc	cellular component biogenesis	6
Aldoc	cellular component organization	6
Aldoc	cellular component organization or biogenesis	7
Aldoc	cellular metabolic process	3
Aldoc	cellular process	4
Aldoc	death	3
Aldoc	developmental process	1
Aldoc	fructose 1,6-bisphosphate metabolic process	0
Aldoc	generation of precursor metabolites and energy	1
Aldoc	glucose catabolic process	1
Aldoc	glucose metabolic process	2
Aldoc	glycolysis	0
Aldoc	hexose catabolic process	2
Aldoc	hexose metabolic process	3
Aldoc	macromolecular complex assembly	4
Aldoc	macromolecular complex subunit organization	5
Aldoc	metabolic process	7
Aldoc	monosaccharide catabolic process	3
Aldoc	monosaccharide metabolic process	4
Aldoc	organic substance metabolic process	2
Aldoc	organophosphate metabolic process	1
Aldoc	phosphate-containing compound metabolic process	1
Aldoc	phosphorus metabolic process	2
Aldoc	primary metabolic process	6
Aldoc	programmed cell death	1
Aldoc	protein complex assembly	3
Aldoc	protein complex biogenesis	4
Aldoc	protein complex subunit organization	4
Aldoc	protein heterooligomerization	1
Aldoc	protein heterotetramerization	0
Aldoc	protein homooligomerization	1
Aldoc	protein homotetramerization	0
Aldoc	protein oligomerization	2
Aldoc	protein tetramerization	1
Cst3	biological regulation	7
Cst3	biological_process	8
Cst3	cellular component organization	4
Cst3	cellular component organization at cellular level	3
Cst3	cellular component organization or biogenesis	5
Cst3	cellular component organization or biogenesis at cellular level	4
Cst3	cellular process	5
Cst3	defense response	0
Cst3	extracellular matrix organization	1
Cst3	extracellular structure organization	2
Cst3	fibril organization	0
Cst3	negative regulation of biological process	4
Cst3	negative regulation of catabolic process	2
Cst3	negative regulation of catalytic activity	3
Cst3	negative regulation of cell death	0
Cst3	negative regulation of cellular catabolic process	1
Cst3	negative regulation of cellular metabolic process	2
Cst3	negative regulation of cellular process	3
Cst3	negative regulation of elastin catabolic process	0
Cst3	negative regulation of endopeptidase activity	0
Cst3	negative regulation of hydrolase activity	2
Cst3	negative regulation of macromolecule metabolic process	1
Cst3	negative regulation of metabolic process	3
Cst3	negative regulation of molecular function	4
Cst3	negative regulation of peptidase activity	1
Cst3	positive regulation of DNA metabolic process	1
Cst3	positive regulation of DNA replication	0
Cst3	positive regulation of biological process	5
Cst3	positive regulation of biosynthetic process	2
Cst3	positive regulation of cell proliferation	0
Cst3	positive regulation of cellular biosynthetic process	1
Cst3	positive regulation of cellular metabolic process	3
Cst3	positive regulation of cellular process	4
Cst3	positive regulation of macromolecule biosynthetic process	1
Cst3	positive regulation of macromolecule metabolic process	2
Cst3	positive regulation of metabolic process	4
Cst3	positive regulation of nitrogen compound metabolic process	3
Cst3	positive regulation of nucleobase-containing compound metabolic process	2
Cst3	regulation of DNA metabolic process	2
Cst3	regulation of DNA replication	1
Cst3	regulation of biological process	6
Cst3	regulation of biosynthetic process	4
Cst3	regulation of catabolic process	3
Cst3	regulation of catalytic activity	4
Cst3	regulation of cell death	1
Cst3	regulation of cell proliferation	1
Cst3	regulation of cellular biosynthetic process	3
Cst3	regulation of cellular catabolic process	2
Cst3	regulation of cellular macromolecule biosynthetic process	2
Cst3	regulation of cellular metabolic process	4
Cst3	regulation of cellular process	5
Cst3	regulation of elastin catabolic process	1
Cst3	regulation of endopeptidase activity	1
Cst3	regulation of hydrolase activity	3
Cst3	regulation of macromolecule biosynthetic process	3
Cst3	regulation of macromolecule metabolic process	4
Cst3	regulation of metabolic process	5
Cst3	regulation of molecular function	5
Cst3	regulation of nitrogen compound metabolic process	4
Cst3	regulation of nucleobase-containing compound metabolic process	3
Cst3	regulation of peptidase activity	2
Cst3	regulation of primary metabolic process	4
Cst3	regulation of programmed cell death	0
Cst3	response to chemical stimulus	1
Cst3	response to oxidative stress	0
Cst3	response to stimulus	2
Cst3	response to stress	1
Fosl2	RNA biosynthetic process	2
Fosl2	RNA metabolic process	3
Fosl2	biological regulation	8
Fosl2	biological_process	9
Fosl2	biosynthetic process	4
Fosl2	cellular biosynthetic process	3
Fosl2	cellular macromolecule biosynthetic process	2
Fosl2	cellular macromolecule metabolic process	4
Fosl2	cellular metabolic process	7
Fosl2	cellular nitrogen compound metabolic process	6
Fosl2	cellular process	8
Fosl2	gene expression	2
Fosl2	macromolecule biosynthetic process	3
Fosl2	macromolecule metabolic process	5
Fosl2	metabolic process	8
Fosl2	nitrogen compound metabolic process	7
Fosl2	nucleic acid metabolic process	4
Fosl2	nucleobase-containing compound metabolic process	5
Fosl2	positive regulation of RNA metabolic process	1
Fosl2	positive regulation of biological process	5
Fosl2	positive regulation of biosynthetic process	2
Fosl2	positive regulation of cell proliferation	1
Fosl2	positive regulation of cellular biosynthetic process	1
Fosl2	positive regulation of cellular metabolic process	3
Fosl2	positive regulation of cellular process	4
Fosl2	positive regulation of fibroblast proliferation	0
Fosl2	positive regulation of gene expression	1
Fosl2	positive regulation of macromolecule biosynthetic process	1
Fosl2	positive regulation of macromolecule metabolic process	2
Fosl2	positive regulation of metabolic process	4
Fosl2	positive regulation of nitrogen compound metabolic process	3
Fosl2	positive regulation of nucleobase-containing compound metabolic process	2
Fosl2	positive regulation of transcription, DNA-dependent	0
Fosl2	primary metabolic process	6
Fosl2	regulation of RNA biosynthetic process	2
Fosl2	regulation of RNA metabolic process	3
Fosl2	regulation of biological process	7
Fosl2	regulation of biosynthetic process	4
Fosl2	regulation of cell proliferation	2
Fosl2	regulation of cellular biosynthetic process	3
Fosl2	regulation of cellular macromolecule biosynthetic process	2
Fosl2	regulation of cellular metabolic process	5
Fosl2	regulation of cellular process	6
Fosl2	regulation of fibroblast proliferation	1
Fosl2	regulation of gene expression	2
Fosl2	regulation of macromolecule biosynthetic process	3
Fosl2	regulation of macromolecule metabolic process	4
Fosl2	regulation of metabolic process	6
