AFUA_6G02110_nca	AFUA_1G13780
AFUA_6G02110_nca	AFUA_1G05790
AFUA_6G00120	AFUA_6G00130
AFUA_5G14390	AFUA_7G00340
AFUA_5G14390	AFUA_5G14410
AFUA_5G14290	AFUA_2G00540
AFUA_5G12960	AFUA_1G07250
AFUA_5G12930_nca	AFUA_8G06680
AFUA_5G12930_nca	AFUA_7G05120
AFUA_5G12930_nca	AFUA_6G03510
AFUA_5G12930_nca	AFUA_5G02300
AFUA_5G12930_nca	AFUA_4G14830
AFUA_5G12930_nca	AFUA_4G10080
AFUA_5G12930_nca	AFUA_3G03480
AFUA_5G12930_nca	AFUA_2G17170
AFUA_5G12930_nca	AFUA_2G09110
AFUA_5G12930_nca	AFUA_2G05230
AFUA_5G12930_nca	AFUA_1G16870
AFUA_5G12930_nca	AFUA_1G11910
AFUA_5G12930_nca	AFUA_1G11720
AFUA_5G12470	AFUA_5G12460
AFUA_5G12130	AFUA_5G05790
AFUA_5G12100	AFUA_3G04310
AFUA_5G12100	AFUA_2G11510
AFUA_5G12060	AFUA_7G04680
AFUA_5G11170	AFUA_2G03860
AFUA_5G10040	AFUA_5G10050
AFUA_5G09740_nca	AFUA_2G13460
AFUA_5G09610	AFUA_3G08650
AFUA_5G09250	AFUA_8G04430
AFUA_5G09250	AFUA_5G08130
AFUA_5G09250	AFUA_4G12850
AFUA_5G09250	AFUA_3G08840
AFUA_5G09250	AFUA_3G07290
AFUA_5G09250	AFUA_2G15030
AFUA_5G09250	AFUA_2G10610
AFUA_5G09250	AFUA_2G05790
AFUA_5G09250	AFUA_1G15050
AFUA_5G08390	AFUA_2G08900
AFUA_5G07960	AFUA_5G07950
AFUA_5G06830	AFUA_6G12000
AFUA_5G06830	AFUA_5G09180
AFUA_5G06830	AFUA_3G03560
AFUA_5G06430	AFUA_7G04420
AFUA_5G06430	AFUA_4G11990
AFUA_5G06410	AFUA_3G12780
AFUA_5G06280	AFUA_3G10890
AFUA_5G06280	AFUA_2G01780
AFUA_5G06190	AFUA_3G14420
AFUA_5G06120_nca	AFUA_6G05270
AFUA_5G06120_nca	AFUA_5G02820
AFUA_5G06120_nca	AFUA_1G09510
AFUA_5G06120	AFUA_7G01990
AFUA_5G06120	AFUA_6G12840
AFUA_5G06120	AFUA_6G08120
AFUA_5G06120	AFUA_6G02670
AFUA_5G06120	AFUA_5G13050
AFUA_5G06120	AFUA_5G09710
AFUA_5G06120	AFUA_5G08700
AFUA_5G06120	AFUA_4G10970
AFUA_5G06120	AFUA_4G09970
AFUA_5G06120	AFUA_3G12820
AFUA_5G06120	AFUA_3G12250
AFUA_5G06120	AFUA_3G08100
AFUA_5G06120	AFUA_3G05530
AFUA_5G06120	AFUA_2G16260
AFUA_5G06120	AFUA_2G14740
AFUA_5G06120	AFUA_2G14280
AFUA_5G06120	AFUA_2G08470
AFUA_5G06120	AFUA_2G07550
AFUA_5G06120	AFUA_2G03640
AFUA_5G06120	AFUA_2G03150
AFUA_5G06120	AFUA_1G15380
AFUA_5G06120	AFUA_1G15080
AFUA_5G06120	AFUA_1G02840
AFUA_5G05990	AFUA_7G06120
AFUA_5G05790	AFUA_5G12130
AFUA_5G05710	AFUA_8G04790
AFUA_5G05710	AFUA_4G06350
AFUA_5G05710	AFUA_3G13400
AFUA_5G05710	AFUA_3G09600
AFUA_5G05710	AFUA_1G13570
AFUA_5G05600	AFUA_5G09140
AFUA_5G04120	AFUA_4G10500
AFUA_5G03920	AFUA_7G04730
AFUA_5G03920	AFUA_4G12530
AFUA_5G03920	AFUA_3G03670
AFUA_5G03920	AFUA_3G03440
AFUA_5G03920	AFUA_3G03430
AFUA_5G03920	AFUA_3G03420
AFUA_5G03920	AFUA_3G03400
AFUA_5G03920	AFUA_3G03390
AFUA_5G03920	AFUA_2G07680
AFUA_5G03920	AFUA_1G17270
AFUA_5G03920	AFUA_1G17190
AFUA_5G03920	AFUA_1G17180
AFUA_5G03920	AFUA_1G12690
AFUA_5G03680	AFUA_4G10270
AFUA_5G03020	AFUA_4G13170
AFUA_5G02330	AFUA_5G02320
AFUA_5G02330	AFUA_4G08970
AFUA_5G02330	AFUA_3G09980
AFUA_5G01900_nca	AFUA_6G13830
